bigram adjusted-idf
jw (5.14166355650266)
nv (5.14166355650266)
ms (5.14166355650266)
yv (5.14166355650266)
pb (5.14166355650266)
of (5.14166355650266)
vk (5.14166355650266)
gt (5.14166355650266)
wh (5.14166355650266)
zr (5.14166355650266)
vz (5.14166355650266)
nj (5.14166355650266)
mz (5.14166355650266)
uf (5.14166355650266)
pp (5.14166355650266)
tw (5.14166355650266)
rj (5.14166355650266)
gd (5.14166355650266)
kn (5.14166355650266)
cq (5.14166355650266)
sv (5.14166355650266)
sb (5.14166355650266)
ln (5.14166355650266)
fh (5.14166355650266)
hw (5.14166355650266)
xw (5.14166355650266)
nb (5.14166355650266)
ps (5.14166355650266)
oz (5.14166355650266)
lj (5.14166355650266)
uh (5.14166355650266)
vx (5.14166355650266)
ts (5.14166355650266)
sr (5.14166355650266)
vm (5.14166355650266)
gn (5.14166355650266)
zu (5.14166355650266)
cs (5.14166355650266)
hg (5.14166355650266)
up (5.14166355650266)
dc (5.14166355650266)
xs (5.14166355650266)
xx (5.14166355650266)
dh (5.14166355650266)
zb (5.14166355650266)
fw (5.14166355650266)
lp (5.14166355650266)
bs (5.14166355650266)
yk (5.14166355650266)
ku (5.14166355650266)
jq (5.14166355650266)
gg (4.736198448394496)
mn (4.736198448394496)
eq (4.736198448394496)
wt (4.736198448394496)
ws (4.736198448394496)
fs (4.736198448394496)
ym (4.736198448394496)
lc (4.736198448394496)
cc (4.736198448394496)
ih (4.736198448394496)
xz (4.736198448394496)
kj (4.736198448394496)
bd (4.736198448394496)
fl (4.736198448394496)
vy (4.736198448394496)
tc (4.736198448394496)
ao (4.736198448394496)
yu (4.736198448394496)
qe (4.736198448394496)
fd (4.736198448394496)
zl (4.736198448394496)
hm (4.736198448394496)
ut (4.736198448394496)
qw (4.736198448394496)
ej (4.736198448394496)
xo (4.736198448394496)
wn (4.736198448394496)
rq (4.736198448394496)
fg (4.736198448394496)
zx (4.736198448394496)
gw (4.736198448394496)
rh (4.736198448394496)
wr (4.736198448394496)
uz (4.736198448394496)
xe (4.736198448394496)
gs (4.736198448394496)
ks (4.448516375942715)
aj (4.448516375942715)
md (4.448516375942715)
dg (4.448516375942715)
iq (4.448516375942715)
ox (4.448516375942715)
lm (4.448516375942715)
rv (4.448516375942715)
fo (4.448516375942715)
dw (4.448516375942715)
ht (4.448516375942715)
dl (4.448516375942715)
rp (4.448516375942715)
cv (4.448516375942715)
mp (4.448516375942715)
wq (4.448516375942715)
af (4.448516375942715)
xc (4.448516375942715)
dn (4.448516375942715)
ap (4.448516375942715)
yo (4.448516375942715)
wy (4.448516375942715)
gl (4.448516375942715)
ij (4.448516375942715)
if (4.448516375942715)
nu (4.448516375942715)
nr (4.448516375942715)
uk (4.448516375942715)
qr (4.448516375942715)
eu (4.448516375942715)
aq (4.448516375942715)
ct (4.448516375942715)
hy (4.448516375942715)
sp (4.225372824628505)
eh (4.225372824628505)
ok (4.225372824628505)
mc (4.225372824628505)
og (4.225372824628505)
ji (4.225372824628505)
lk (4.225372824628505)
tn (4.225372824628505)
po (4.225372824628505)
rk (4.225372824628505)
um (4.225372824628505)
rb (4.225372824628505)
tz (4.225372824628505)
lf (4.225372824628505)
ua (4.225372824628505)
nk (4.225372824628505)
ib (4.225372824628505)
zm (4.225372824628505)
pi (4.225372824628505)
oa (4.04305126783455)
mu (4.04305126783455)
ff (4.04305126783455)
oo (4.04305126783455)
sk (4.04305126783455)
go (4.04305126783455)
iu (4.04305126783455)
ix (4.04305126783455)
oc (4.04305126783455)
sf (4.04305126783455)
oi (4.04305126783455)
cu (4.04305126783455)
ep (4.04305126783455)
kh (4.04305126783455)
rw (4.04305126783455)
kl (4.04305126783455)
oy (4.04305126783455)
ez (4.04305126783455)
du (4.04305126783455)
mb (4.04305126783455)
bo (3.8889005880072918)
bb (3.8889005880072918)
mr (3.8889005880072918)
vo (3.8889005880072918)
df (3.8889005880072918)
hn (3.8889005880072918)
ek (3.8889005880072918)
ds (3.8889005880072918)
aw (3.8889005880072918)
su (3.8889005880072918)
ef (3.8889005880072918)
yt (3.8889005880072918)
kr (3.8889005880072918)
xt (3.8889005880072918)
hr (3.8889005880072918)
ip (3.8889005880072918)
rg (3.755369195382769)
hu (3.755369195382769)
xa (3.755369195382769)
yc (3.755369195382769)
ou (3.755369195382769)
lt (3.755369195382769)
fi (3.755369195382769)
sd (3.755369195382769)
bl (3.755369195382769)
sm (3.755369195382769)
zo (3.755369195382769)
pr (3.755369195382769)
cy (3.755369195382769)
sc (3.755369195382769)
ye (3.755369195382769)
zi (3.755369195382769)
ls (3.755369195382769)
lb (3.755369195382769)
ow (3.6375861597263857)
ub (3.6375861597263857)
sy (3.6375861597263857)
rm (3.6375861597263857)
eb (3.6375861597263857)
ov (3.6375861597263857)
ot (3.6375861597263857)
tu (3.6375861597263857)
ug (3.6375861597263857)
hl (3.6375861597263857)
iz (3.6375861597263857)
ze (3.6375861597263857)
op (3.5322256440685598)
fa (3.5322256440685598)
az (3.5322256440685598)
gu (3.5322256440685598)
nz (3.5322256440685598)
ru (3.5322256440685598)
cr (3.5322256440685598)
tl (3.5322256440685598)
ew (3.5322256440685598)
rn (3.5322256440685598)
fe (3.5322256440685598)
lv (3.5322256440685598)
rc (3.4369154642642346)
aa (3.4369154642642346)
wa (3.4369154642642346)
ag (3.4369154642642346)
uc (3.4369154642642346)
bi (3.4369154642642346)
nl (3.4369154642642346)
ba (3.4369154642642346)
wi (3.4369154642642346)
dd (3.349904087274605)
cl (3.349904087274605)
yr (3.349904087274605)
xi (3.349904087274605)
un (3.349904087274605)
by (3.349904087274605)
ob (3.349904087274605)
ui (3.349904087274605)
ud (3.349904087274605)
rs (3.349904087274605)
ec (3.349904087274605)
ld (3.2698613796010685)
ex (3.2698613796010685)
ns (3.2698613796010685)
rd (3.2698613796010685)
ho (3.2698613796010685)
my (3.1957534074473464)
eg (3.1957534074473464)
ue (3.1957534074473464)
ik (3.126760535960395)
od (3.126760535960395)
oe (3.126760535960395)
oh (3.126760535960395)
fr (3.126760535960395)
sl (3.062222014822824)
iv (3.062222014822824)
qu (3.062222014822824)
mm (3.062222014822824)
gh (3.062222014822824)
om (3.062222014822824)
we (3.001597393006389)
lu (3.001597393006389)
gr (3.001597393006389)
ty (3.001597393006389)
ph (2.9444389791664403)
ak (2.8903717578961645)
eo (2.8903717578961645)
ko (2.8903717578961645)
ny (2.8903717578961645)
pa (2.8903717578961645)
ng (2.8903717578961645)
rr (2.8903717578961645)
ci (2.8390784635086144)
hi (2.8390784635086144)
ax (2.8390784635086144)
ur (2.8390784635086144)
pe (2.8390784635086144)
ig (2.743768283704289)
rt (2.743768283704289)
yd (2.743768283704289)
ky (2.6993165211334555)
tr (2.6567569067146595)
je (2.6567569067146595)
im (2.6567569067146595)
ys (2.6567569067146595)
ev (2.6567569067146595)
ei (2.6567569067146595)
ve (2.615934912194404)
gi (2.615934912194404)
ju (2.615934912194404)
tt (2.615934912194404)
mo (2.576714199041123)
id (2.576714199041123)
ki (2.576714199041123)
ul (2.576714199041123)
io (2.538973871058276)
ck (2.538973871058276)
ir (2.502606226887401)
iy (2.502606226887401)
ed (2.502606226887401)
os (2.467514907076131)
it (2.467514907076131)
si (2.467514907076131)
no (2.4336133554004498)
dy (2.4336133554004498)
ae (2.4336133554004498)
au (2.400823532577459)
us (2.400823532577459)
ga (2.400823532577459)
nc (2.400823532577459)
nt (2.338303175596125)
za (2.338303175596125)
ss (2.338303175596125)
va (2.3084502124464437)
ge (2.3084502124464437)
av (2.3084502124464437)
sh (2.2794626755731917)
ea (2.2794626755731917)
rl (2.2512917986064953)
ac (2.2512917986064953)
do (2.2512917986064953)
ta (2.2512917986064953)
dr (2.223892824418381)
et (2.223892824418381)
em (2.1972245773362196)
di (2.1972245773362196)
ab (2.171249090932959)
co (2.145931282948669)
me (2.0506211031443438)
jo (2.0506211031443438)
ti (2.028148247292285)
he (2.028148247292285)
lo (2.028148247292285)
ee (2.00616934057351)
ch (2.00616934057351)
ol (2.00616934057351)
te (1.9636097261547143)
ic (1.9636097261547143)
vi (1.9636097261547143)
or (1.9029851043382795)
at (1.8835670184811777)
ke (1.8835670184811777)
se (1.8835670184811777)
es (1.8645188235104833)
th (1.8645188235104833)
be (1.8274775518301343)
to (1.8274775518301343)
so (1.8094590463274558)
ry (1.791759469228055)
ce (1.7239368728892939)
st (1.7239368728892939)
ni (1.6153030318864985)
nd (1.6153030318864985)
as (1.6007042324653458)
ro (1.5863154950132463)
ey (1.55814461804655)
yl (1.5173226235262947)
ya (1.5173226235262947)
ad (1.5040773967762742)
ai (1.4910053152089213)
sa (1.4781019103730135)
ca (1.4403615823901663)
da (1.428091489798352)
ly (1.4159701292660072)
ah (1.4159701292660072)
mi (1.4039939382192914)
br (1.3461743673304654)
ka (1.33500106673234)
yn (1.323951230545755)
am (1.323951230545755)
ne (1.3022112439093492)
il (1.2915159547926012)
ja (1.270462545594769)
ll (1.2600997585592224)
de (1.2296405510745139)
is (1.209837923778334)
ay (1.1904198379212325)
ie (1.1808503869050817)
re (1.161981902600699)
ha (1.1434628548334613)
nn (1.089878608699355)
ra (0.9444616088408515)
in (0.8860508466844369)
er (0.8443781502838689)
ma (0.8043728156701697)
al (0.7913856201433586)
la (0.7849547298130682)
ia (0.7108467576593461)
na (0.7049120221395317)
on (0.6757554378480761)
ri (0.6700247631390911)
li (0.5877866649021191)
le (0.5825373090159753)
ar (0.5516070083246167)
en (0.5315058290035294)
el (0.5166907432183888)
an (0.0)
