bigram standard-idf
jw (6.917705609835305)
nv (6.917705609835305)
ms (6.917705609835305)
yv (6.917705609835305)
pb (6.917705609835305)
of (6.917705609835305)
vk (6.917705609835305)
gt (6.917705609835305)
wh (6.917705609835305)
zr (6.917705609835305)
vz (6.917705609835305)
nj (6.917705609835305)
mz (6.917705609835305)
uf (6.917705609835305)
pp (6.917705609835305)
tw (6.917705609835305)
rj (6.917705609835305)
gd (6.917705609835305)
kn (6.917705609835305)
cq (6.917705609835305)
sv (6.917705609835305)
sb (6.917705609835305)
ln (6.917705609835305)
fh (6.917705609835305)
hw (6.917705609835305)
xw (6.917705609835305)
nb (6.917705609835305)
ps (6.917705609835305)
oz (6.917705609835305)
lj (6.917705609835305)
uh (6.917705609835305)
vx (6.917705609835305)
ts (6.917705609835305)
sr (6.917705609835305)
vm (6.917705609835305)
gn (6.917705609835305)
zu (6.917705609835305)
cs (6.917705609835305)
hg (6.917705609835305)
up (6.917705609835305)
dc (6.917705609835305)
xs (6.917705609835305)
xx (6.917705609835305)
dh (6.917705609835305)
zb (6.917705609835305)
fw (6.917705609835305)
lp (6.917705609835305)
bs (6.917705609835305)
yk (6.917705609835305)
ku (6.917705609835305)
jq (6.917705609835305)
gg (6.512240501727141)
mn (6.512240501727141)
eq (6.512240501727141)
wt (6.512240501727141)
ws (6.512240501727141)
fs (6.512240501727141)
ym (6.512240501727141)
lc (6.512240501727141)
cc (6.512240501727141)
ih (6.512240501727141)
xz (6.512240501727141)
kj (6.512240501727141)
bd (6.512240501727141)
fl (6.512240501727141)
vy (6.512240501727141)
tc (6.512240501727141)
ao (6.512240501727141)
yu (6.512240501727141)
qe (6.512240501727141)
fd (6.512240501727141)
zl (6.512240501727141)
hm (6.512240501727141)
ut (6.512240501727141)
qw (6.512240501727141)
ej (6.512240501727141)
xo (6.512240501727141)
wn (6.512240501727141)
rq (6.512240501727141)
fg (6.512240501727141)
zx (6.512240501727141)
gw (6.512240501727141)
rh (6.512240501727141)
wr (6.512240501727141)
uz (6.512240501727141)
xe (6.512240501727141)
gs (6.512240501727141)
ks (6.22455842927536)
aj (6.22455842927536)
md (6.22455842927536)
dg (6.22455842927536)
iq (6.22455842927536)
ox (6.22455842927536)
lm (6.22455842927536)
rv (6.22455842927536)
fo (6.22455842927536)
dw (6.22455842927536)
ht (6.22455842927536)
dl (6.22455842927536)
rp (6.22455842927536)
cv (6.22455842927536)
mp (6.22455842927536)
wq (6.22455842927536)
af (6.22455842927536)
xc (6.22455842927536)
dn (6.22455842927536)
ap (6.22455842927536)
yo (6.22455842927536)
wy (6.22455842927536)
gl (6.22455842927536)
ij (6.22455842927536)
if (6.22455842927536)
nu (6.22455842927536)
nr (6.22455842927536)
uk (6.22455842927536)
qr (6.22455842927536)
eu (6.22455842927536)
aq (6.22455842927536)
ct (6.22455842927536)
hy (6.22455842927536)
sp (6.0014148779611505)
eh (6.0014148779611505)
ok (6.0014148779611505)
mc (6.0014148779611505)
og (6.0014148779611505)
ji (6.0014148779611505)
lk (6.0014148779611505)
tn (6.0014148779611505)
po (6.0014148779611505)
rk (6.0014148779611505)
um (6.0014148779611505)
rb (6.0014148779611505)
tz (6.0014148779611505)
lf (6.0014148779611505)
ua (6.0014148779611505)
nk (6.0014148779611505)
ib (6.0014148779611505)
zm (6.0014148779611505)
pi (6.0014148779611505)
oa (5.819093321167196)
mu (5.819093321167196)
ff (5.819093321167196)
oo (5.819093321167196)
sk (5.819093321167196)
go (5.819093321167196)
iu (5.819093321167196)
ix (5.819093321167196)
oc (5.819093321167196)
sf (5.819093321167196)
oi (5.819093321167196)
cu (5.819093321167196)
ep (5.819093321167196)
kh (5.819093321167196)
rw (5.819093321167196)
kl (5.819093321167196)
oy (5.819093321167196)
ez (5.819093321167196)
du (5.819093321167196)
mb (5.819093321167196)
bo (5.6649426413399375)
bb (5.6649426413399375)
mr (5.6649426413399375)
vo (5.6649426413399375)
df (5.6649426413399375)
hn (5.6649426413399375)
ek (5.6649426413399375)
ds (5.6649426413399375)
aw (5.6649426413399375)
su (5.6649426413399375)
ef (5.6649426413399375)
yt (5.6649426413399375)
kr (5.6649426413399375)
xt (5.6649426413399375)
hr (5.6649426413399375)
ip (5.6649426413399375)
rg (5.531411248715415)
hu (5.531411248715415)
xa (5.531411248715415)
yc (5.531411248715415)
ou (5.531411248715415)
lt (5.531411248715415)
fi (5.531411248715415)
sd (5.531411248715415)
bl (5.531411248715415)
sm (5.531411248715415)
zo (5.531411248715415)
pr (5.531411248715415)
cy (5.531411248715415)
sc (5.531411248715415)
ye (5.531411248715415)
zi (5.531411248715415)
ls (5.531411248715415)
lb (5.531411248715415)
ow (5.413628213059031)
ub (5.413628213059031)
sy (5.413628213059031)
rm (5.413628213059031)
eb (5.413628213059031)
ov (5.413628213059031)
ot (5.413628213059031)
tu (5.413628213059031)
ug (5.413628213059031)
hl (5.413628213059031)
iz (5.413628213059031)
ze (5.413628213059031)
op (5.308267697401205)
fa (5.308267697401205)
az (5.308267697401205)
gu (5.308267697401205)
nz (5.308267697401205)
ru (5.308267697401205)
cr (5.308267697401205)
tl (5.308267697401205)
ew (5.308267697401205)
rn (5.308267697401205)
fe (5.308267697401205)
lv (5.308267697401205)
rc (5.212957517596879)
aa (5.212957517596879)
wa (5.212957517596879)
ag (5.212957517596879)
uc (5.212957517596879)
bi (5.212957517596879)
nl (5.212957517596879)
ba (5.212957517596879)
wi (5.212957517596879)
dd (5.12594614060725)
cl (5.12594614060725)
yr (5.12594614060725)
xi (5.12594614060725)
un (5.12594614060725)
by (5.12594614060725)
ob (5.12594614060725)
ui (5.12594614060725)
ud (5.12594614060725)
rs (5.12594614060725)
ec (5.12594614060725)
ld (5.045903432933714)
ex (5.045903432933714)
ns (5.045903432933714)
rd (5.045903432933714)
ho (5.045903432933714)
my (4.971795460779992)
eg (4.971795460779992)
ue (4.971795460779992)
ik (4.9028025892930405)
od (4.9028025892930405)
oe (4.9028025892930405)
oh (4.9028025892930405)
fr (4.9028025892930405)
sl (4.838264068155469)
iv (4.838264068155469)
qu (4.838264068155469)
mm (4.838264068155469)
gh (4.838264068155469)
om (4.838264068155469)
we (4.777639446339035)
lu (4.777639446339035)
gr (4.777639446339035)
ty (4.777639446339035)
ph (4.720481032499086)
ak (4.66641381122881)
eo (4.66641381122881)
ko (4.66641381122881)
ny (4.66641381122881)
pa (4.66641381122881)
ng (4.66641381122881)
rr (4.66641381122881)
ci (4.61512051684126)
hi (4.61512051684126)
ax (4.61512051684126)
ur (4.61512051684126)
pe (4.61512051684126)
ig (4.519810337036935)
rt (4.519810337036935)
yd (4.519810337036935)
ky (4.4753585744661)
tr (4.432798960047305)
je (4.432798960047305)
im (4.432798960047305)
ys (4.432798960047305)
ev (4.432798960047305)
ei (4.432798960047305)
ve (4.39197696552705)
gi (4.39197696552705)
ju (4.39197696552705)
tt (4.39197696552705)
mo (4.352756252373768)
id (4.352756252373768)
ki (4.352756252373768)
ul (4.352756252373768)
io (4.315015924390921)
ck (4.315015924390921)
ir (4.278648280220047)
iy (4.278648280220047)
ed (4.278648280220047)
os (4.243556960408776)
it (4.243556960408776)
si (4.243556960408776)
no (4.209655408733095)
dy (4.209655408733095)
ae (4.209655408733095)
au (4.176865585910104)
us (4.176865585910104)
ga (4.176865585910104)
nc (4.176865585910104)
nt (4.11434522892877)
za (4.11434522892877)
ss (4.11434522892877)
va (4.084492265779089)
ge (4.084492265779089)
av (4.084492265779089)
sh (4.055504728905837)
ea (4.055504728905837)
rl (4.02733385193914)
ac (4.02733385193914)
do (4.02733385193914)
ta (4.02733385193914)
dr (3.999934877751026)
et (3.999934877751026)
em (3.9732666306688644)
di (3.9732666306688644)
ab (3.9472911442656042)
co (3.9219733362813143)
me (3.826663156476989)
jo (3.826663156476989)
ti (3.8041903006249305)
he (3.8041903006249305)
lo (3.8041903006249305)
ee (3.7822113939061555)
ch (3.7822113939061555)
ol (3.7822113939061555)
te (3.7396517794873594)
ic (3.7396517794873594)
vi (3.7396517794873594)
or (3.679027157670925)
at (3.659609071813823)
ke (3.659609071813823)
se (3.659609071813823)
es (3.6405608768431286)
th (3.6405608768431286)
be (3.6035196051627794)
to (3.6035196051627794)
so (3.5855010996601013)
ry (3.5678015225607003)
ce (3.499978926221939)
st (3.499978926221939)
ni (3.3913450852191436)
nd (3.3913450852191436)
as (3.376746285797991)
ro (3.3623575483458916)
ey (3.334186671379195)
yl (3.29336467685894)
ya (3.29336467685894)
ad (3.2801194501089195)
ai (3.2670473685415664)
sa (3.254143963705659)
ca (3.216403635722812)
da (3.204133543130997)
ly (3.1920121825986527)
ah (3.1920121825986527)
mi (3.1800359915519367)
br (3.1222164206631104)
ka (3.1110431200649855)
yn (3.0999932838784003)
am (3.0999932838784003)
ne (3.0782532972419943)
il (3.0675580081252467)
ja (3.0465045989274144)
ll (3.0361418118918677)
de (3.005682604407159)
is (2.9858799771109794)
ay (2.9664618912538776)
ie (2.956892440237727)
re (2.9380239559333443)
ha (2.9195049081661066)
nn (2.8659206620320004)
ra (2.720503662173497)
in (2.662092900017082)
er (2.620420203616514)
ma (2.580414869002815)
al (2.5674276734760038)
la (2.5609967831457134)
ia (2.4868888109919913)
na (2.480954075472177)
on (2.4517974911807214)
ri (2.4460668164717365)
li (2.3638287182347644)
le (2.3585793623486206)
ar (2.327649061657262)
en (2.307547882336175)
el (2.292732796551034)
an (1.7760420533326453)
