Order	Score	Word	IsRandom	Ngrams
 1	37.97	hgdfhwrwt  	*	gd(5.14), fh(5.14), hw(5.14), hg(5.14), wt(4.74), wr(4.74), rw(4.04), df(3.89)
 2	35.94	sdcslkjqw  	*	cs(5.14), dc(5.14), jq(5.14), kj(4.74), qw(4.74), lk(4.23), sd(3.76), sl(3.06)
 3	32.81	vxcvzxcv   	*	cv(8.90), xc(8.90), vz(5.14), vx(5.14), zx(4.74)
 4	32.79	weqrwerpoi 	*	we(6.00), eq(4.74), rp(4.45), qr(4.45), po(4.23), oi(4.04), rw(4.04), er(0.84)
 5	30.40	asdfdsfsd  	*	sd(7.51), fs(4.74), fd(4.74), sf(4.04), df(3.89), ds(3.89), as(1.60)
 6	29.74	zxcvmnnb   	*	nb(5.14), vm(5.14), mn(4.74), zx(4.74), cv(4.45), xc(4.45), nn(1.09)
 7	26.98	psdafopi   	*	ps(5.14), fo(4.45), af(4.45), pi(4.23), sd(3.76), op(3.53), da(1.43)
 8	26.61	ewqrqrta   	*	qr(8.90), rq(4.74), wq(4.45), ew(3.53), rt(2.74), ta(2.25)
 9	24.42	asdfwqer   	*	fw(5.14), qe(4.74), wq(4.45), df(3.89), sd(3.76), as(1.60), er(0.84)
10	24.13	lkjwqer    	*	jw(5.14), kj(4.74), qe(4.74), wq(4.45), lk(4.23), er(0.84)
11	23.37	dsfgrewe   	*	fg(4.74), sf(4.04), ds(3.89), ew(3.53), we(3.00), gr(3.00), re(1.16)
12	22.46	guadalupe  	 	up(5.14), ua(4.23), gu(3.53), lu(3.00), pe(2.84), ad(1.50), da(1.43), al(0.79)
13	22.18	dfsaklj    	*	lj(5.14), fs(4.74), kl(4.04), df(3.89), ak(2.89), sa(1.48)
14	22.01	rtwetsd    	*	tw(5.14), ts(5.14), sd(3.76), we(3.00), rt(2.74), et(2.22)
15	21.71	erwtrepo   	*	wt(4.74), po(4.23), ep(4.04), rw(4.04), tr(2.66), re(1.16), er(0.84)
16	21.34	dfglkl     	*	fg(4.74), gl(4.45), lk(4.23), kl(4.04), df(3.89)
17	20.80	jefferson  	 	ff(4.04), ef(3.89), fe(3.53), rs(3.35), je(2.66), so(1.81), er(0.84), on(0.68)
18	20.68	christopher	 	hr(3.89), op(3.53), ph(2.94), he(2.03), ch(2.01), to(1.83), st(1.72), is(1.21), er(0.84), ri(0.67)
19	20.53	ezequiel   	 	eq(4.74), ez(4.04), ze(3.64), ui(3.35), qu(3.06), ie(1.18), el(0.52)
20	19.93	dominique  	 	iq(4.45), ue(3.20), qu(3.06), om(3.06), do(2.25), ni(1.62), mi(1.40), in(0.89)
21	19.74	autumn     	 	mn(4.74), ut(4.74), um(4.23), tu(3.64), au(2.40)
22	19.73	augustus   	 	us(4.80), tu(3.64), ug(3.64), gu(3.53), au(2.40), st(1.72)
23	19.63	tyrwereh   	*	eh(4.23), rw(4.04), yr(3.35), we(3.00), ty(3.00), re(1.16), er(0.84)
24	19.31	kourtney   	 	tn(4.23), ou(3.76), ko(2.89), ur(2.84), rt(2.74), ey(1.56), ne(1.30)
25	19.07	brooklynn  	 	ok(4.23), oo(4.04), kl(4.04), ro(1.59), ly(1.42), br(1.35), yn(1.32), nn(1.09)
26	18.67	kristopher 	 	kr(3.89), op(3.53), ph(2.94), he(2.03), to(1.83), st(1.72), is(1.21), er(0.84), ri(0.67)
27	18.57	courtney   	 	tn(4.23), ou(3.76), ur(2.84), rt(2.74), co(2.15), ey(1.56), ne(1.30)
28	18.42	asdfasf    	*	sf(4.04), df(3.89), sd(3.76), fa(3.53), as(3.20)
29	18.42	josephine  	 	ep(4.04), ph(2.94), hi(2.84), os(2.47), jo(2.05), se(1.88), ne(1.30), in(0.89)
30	18.40	mustafa    	 	af(4.45), mu(4.04), fa(3.53), us(2.40), ta(2.25), st(1.72)
31	18.31	cristopher 	 	op(3.53), cr(3.53), ph(2.94), he(2.03), to(1.83), st(1.72), is(1.21), er(0.84), ri(0.67)
32	18.30	hezekiah   	 	ez(4.04), ek(3.89), ze(3.64), ki(2.58), he(2.03), ah(1.42), ia(0.71)
33	18.21	jacqueline 	 	cq(5.14), ue(3.20), qu(3.06), ac(2.25), ne(1.30), ja(1.27), in(0.89), li(0.59), el(0.52)
34	17.98	brooklyn   	 	ok(4.23), oo(4.04), kl(4.04), ro(1.59), ly(1.42), br(1.35), yn(1.32)
35	17.84	joaquin    	 	aq(4.45), oa(4.04), ui(3.35), qu(3.06), jo(2.05), in(0.89)
36	17.65	mckenzie   	 	mc(4.23), zi(3.76), nz(3.53), ck(2.54), ke(1.88), ie(1.18), en(0.53)
37	17.64	rodolfo    	 	fo(4.45), lf(4.23), od(3.13), do(2.25), ol(2.01), ro(1.59)
38	17.53	whitney    	 	wh(5.14), tn(4.23), hi(2.84), it(2.47), ey(1.56), ne(1.30)
39	17.47	demetrius  	 	iu(4.04), tr(2.66), us(2.40), et(2.22), em(2.20), me(2.05), de(1.23), ri(0.67)
40	17.46	johnathon  	 	hn(3.89), ho(3.27), oh(3.13), jo(2.05), at(1.88), th(1.86), na(0.70), on(0.68)
41	17.42	abbigail   	 	bb(3.89), bi(3.44), ig(2.74), ga(2.40), ab(2.17), ai(1.49), il(1.29)
42	17.36	temperance 	 	mp(4.45), pe(2.84), nc(2.40), em(2.20), te(1.96), ce(1.72), ra(0.94), er(0.84), an(0.00)
43	17.26	qwerpo     	*	qw(4.74), rp(4.45), po(4.23), we(3.00), er(0.84)
44	17.21	timothy    	 	hy(4.45), ot(3.64), im(2.66), mo(2.58), ti(2.03), th(1.86)
45	17.16	fletcher   	 	fl(4.74), tc(4.74), et(2.22), he(2.03), ch(2.01), er(0.84), le(0.58)
46	17.07	guillermo  	 	rm(3.64), gu(3.53), ui(3.35), mo(2.58), il(1.29), ll(1.26), er(0.84), le(0.58)
47	17.02	muhammad   	 	uh(5.14), mu(4.04), mm(3.06), ad(1.50), am(1.32), ha(1.14), ma(0.80)
48	17.01	angelique  	 	iq(4.45), ue(3.20), qu(3.06), ng(2.89), ge(2.31), li(0.59), el(0.52), an(0.00)
49	16.99	abdullah   	 	bd(4.74), du(4.04), ul(2.58), ab(2.17), ah(1.42), ll(1.26), la(0.78)
50	16.94	tiffany    	 	if(4.45), ff(4.04), fa(3.53), ny(2.89), ti(2.03), an(0.00)
51	16.88	gwendolyn  	 	gw(4.74), we(3.00), do(2.25), ol(2.01), nd(1.62), ly(1.42), yn(1.32), en(0.53)
52	16.84	eduardo    	 	ua(4.23), du(4.04), rd(3.27), ed(2.50), do(2.25), ar(0.55)
53	16.80	griffin    	 	if(4.45), ff(4.04), fi(3.76), gr(3.00), in(0.89), ri(0.67)
54	16.76	jeffery    	 	ff(4.04), ef(3.89), fe(3.53), je(2.66), ry(1.79), er(0.84)
55	16.59	esperanza  	 	sp(4.23), nz(3.53), pe(2.84), za(2.34), es(1.86), ra(0.94), er(0.84), an(0.00)
56	16.51	yehuda     	 	eh(4.23), hu(3.76), ye(3.76), ud(3.35), da(1.43)
57	16.48	douglas    	 	gl(4.45), ou(3.76), ug(3.64), do(2.25), as(1.60), la(0.78)
58	16.48	mackenzie  	 	zi(3.76), nz(3.53), ck(2.54), ac(2.25), ke(1.88), ie(1.18), ma(0.80), en(0.53)
59	16.44	jeffrey    	 	ff(4.04), ef(3.89), fr(3.13), je(2.66), ey(1.56), re(1.16)
60	16.42	francisco  	 	sc(3.76), fr(3.13), ci(2.84), nc(2.40), co(2.15), is(1.21), ra(0.94), an(0.00)
61	16.36	enrique    	 	iq(4.45), nr(4.45), ue(3.20), qu(3.06), ri(0.67), en(0.53)
62	16.29	kingsley   	 	gs(4.74), sl(3.06), ng(2.89), ki(2.58), ey(1.56), in(0.89), le(0.58)
63	16.23	osvaldo    	 	sv(5.14), ld(3.27), os(2.47), va(2.31), do(2.25), al(0.79)
64	16.22	ignacio    	 	gn(5.14), ci(2.84), ig(2.74), io(2.54), ac(2.25), na(0.70)
65	16.20	charlotte  	 	ot(3.64), tt(2.62), rl(2.25), lo(2.03), ch(2.01), te(1.96), ha(1.14), ar(0.55)
66	16.18	remington  	 	gt(5.14), ng(2.89), em(2.20), to(1.83), mi(1.40), re(1.16), in(0.89), on(0.68)
67	16.17	yusuf      	 	uf(5.14), yu(4.74), su(3.89), us(2.40)
68	16.15	rebecca    	 	cc(4.74), eb(3.64), ec(3.35), be(1.83), ca(1.44), re(1.16)
69	16.11	gustavo    	 	vo(3.89), gu(3.53), us(2.40), av(2.31), ta(2.25), st(1.72)
70	16.09	maximus    	 	mu(4.04), xi(3.35), ax(2.84), im(2.66), us(2.40), ma(0.80)
71	16.08	maximiliano	 	xi(3.35), ax(2.84), im(2.66), no(2.43), mi(1.40), il(1.29), ma(0.80), ia(0.71), li(0.59), an(0.00)
