Order	Score	Word	IsRandom	Ngrams
 1	52.18	hgdfhwrwt  	*	gd(6.92), fh(6.92), hw(6.92), hg(6.92), wt(6.51), wr(6.51), rw(5.82), df(5.66)
 2	50.15	sdcslkjqw  	*	cs(6.92), dc(6.92), jq(6.92), kj(6.51), qw(6.51), lk(6.00), sd(5.53), sl(4.84)
 3	48.78	weqrwerpoi 	*	we(9.56), eq(6.51), rp(6.22), qr(6.22), po(6.00), oi(5.82), rw(5.82), er(2.62)
 4	45.25	vxcvzxcv   	*	cv(12.45), xc(12.45), vz(6.92), vx(6.92), zx(6.51)
 5	44.61	asdfdsfsd  	*	sd(11.06), fs(6.51), fd(6.51), sf(5.82), df(5.66), ds(5.66), as(3.38)
 6	42.17	zxcvmnnb   	*	nb(6.92), vm(6.92), mn(6.51), zx(6.51), cv(6.22), xc(6.22), nn(2.87)
 7	39.41	psdafopi   	*	ps(6.92), fo(6.22), af(6.22), pi(6.00), sd(5.53), op(5.31), da(3.20)
 8	39.04	ewqrqrta   	*	qr(12.45), rq(6.51), wq(6.22), ew(5.31), rt(4.52), ta(4.03)
 9	38.44	christopher	 	hr(5.66), op(5.31), ph(4.72), he(3.80), ch(3.78), to(3.60), st(3.50), is(2.99), er(2.62), ri(2.45)
10	36.85	asdfwqer   	*	fw(6.92), qe(6.51), wq(6.22), df(5.66), sd(5.53), as(3.38), er(2.62)
11	36.67	guadalupe  	 	up(6.92), ua(6.00), gu(5.31), lu(4.78), pe(4.62), ad(3.28), da(3.20), al(2.57)
12	35.80	dsfgrewe   	*	fg(6.51), sf(5.82), ds(5.66), ew(5.31), we(4.78), gr(4.78), re(2.94)
13	35.01	jefferson  	 	ff(5.82), ef(5.66), fe(5.31), rs(5.13), je(4.43), so(3.59), er(2.62), on(2.45)
14	34.79	lkjwqer    	*	jw(6.92), kj(6.51), qe(6.51), wq(6.22), lk(6.00), er(2.62)
15	34.65	kristopher 	 	kr(5.66), op(5.31), ph(4.72), he(3.80), to(3.60), st(3.50), is(2.99), er(2.62), ri(2.45)
16	34.30	cristopher 	 	op(5.31), cr(5.31), ph(4.72), he(3.80), to(3.60), st(3.50), is(2.99), er(2.62), ri(2.45)
17	34.20	jacqueline 	 	cq(6.92), ue(4.97), qu(4.84), ac(4.03), ne(3.08), ja(3.05), in(2.66), li(2.36), el(2.29)
18	34.14	erwtrepo   	*	wt(6.51), po(6.00), ep(5.82), rw(5.82), tr(4.43), re(2.94), er(2.62)
19	34.13	dominique  	 	iq(6.22), ue(4.97), qu(4.84), om(4.84), do(4.03), ni(3.39), mi(3.18), in(2.66)
20	33.84	maximiliano	 	xi(5.13), ax(4.62), im(4.43), no(4.21), mi(3.18), il(3.07), ma(2.58), ia(2.49), li(2.36), an(1.78)
21	33.35	temperance 	 	mp(6.22), pe(4.62), nc(4.18), em(3.97), te(3.74), ce(3.50), ra(2.72), er(2.62), an(1.78)
22	33.28	brooklynn  	 	ok(6.00), oo(5.82), kl(5.82), ro(3.36), ly(3.19), br(3.12), yn(3.10), nn(2.87)
23	32.96	ezequiel   	 	eq(6.51), ez(5.82), ze(5.41), ui(5.13), qu(4.84), ie(2.96), el(2.29)
24	32.83	dfsaklj    	*	lj(6.92), fs(6.51), kl(5.82), df(5.66), ak(4.67), sa(3.25)
25	32.66	rtwetsd    	*	tw(6.92), ts(6.92), sd(5.53), we(4.78), rt(4.52), et(4.00)
26	32.62	josephine  	 	ep(5.82), ph(4.72), hi(4.62), os(4.24), jo(3.83), se(3.66), ne(3.08), in(2.66)
27	32.17	augustus   	 	us(8.35), tu(5.41), ug(5.41), gu(5.31), au(4.18), st(3.50)
28	32.06	tyrwereh   	*	eh(6.00), rw(5.82), yr(5.13), we(4.78), ty(4.78), re(2.94), er(2.62)
29	31.75	kourtney   	 	tn(6.00), ou(5.53), ko(4.67), ur(4.62), rt(4.52), ey(3.33), ne(3.08)
30	31.68	demetrius  	 	iu(5.82), tr(4.43), us(4.18), et(4.00), em(3.97), me(3.83), de(3.01), ri(2.45)
31	31.67	johnathon  	 	hn(5.66), ho(5.05), oh(4.90), jo(3.83), at(3.66), th(3.64), na(2.48), on(2.45)
32	31.39	alexzander 	 	xz(6.51), ex(5.05), za(4.11), nd(3.39), de(3.01), er(2.62), al(2.57), le(2.36), an(1.78)
33	31.28	guillermo  	 	rm(5.41), gu(5.31), ui(5.13), mo(4.35), il(3.07), ll(3.04), er(2.62), le(2.36)
34	31.22	angelique  	 	iq(6.22), ue(4.97), qu(4.84), ng(4.67), ge(4.08), li(2.36), el(2.29), an(1.78)
35	31.09	gwendolyn  	 	gw(6.51), we(4.78), do(4.03), ol(3.78), nd(3.39), ly(3.19), yn(3.10), en(2.31)
36	31.00	courtney   	 	tn(6.00), ou(5.53), ur(4.62), rt(4.52), co(3.92), ey(3.33), ne(3.08)
37	30.80	esperanza  	 	sp(6.00), nz(5.31), pe(4.62), za(4.11), es(3.64), ra(2.72), er(2.62), an(1.78)
38	30.73	hezekiah   	 	ez(5.82), ek(5.66), ze(5.41), ki(4.35), he(3.80), ah(3.19), ia(2.49)
39	30.69	mackenzie  	 	zi(5.53), nz(5.31), ck(4.32), ac(4.03), ke(3.66), ie(2.96), ma(2.58), en(2.31)
40	30.63	francisco  	 	sc(5.53), fr(4.90), ci(4.62), nc(4.18), co(3.92), is(2.99), ra(2.72), an(1.78)
41	30.42	brooklyn   	 	ok(6.00), oo(5.82), kl(5.82), ro(3.36), ly(3.19), br(3.12), yn(3.10)
42	30.41	charlotte  	 	ot(5.41), tt(4.39), rl(4.03), lo(3.80), ch(3.78), te(3.74), ha(2.92), ar(2.33)
43	30.39	remington  	 	gt(6.92), ng(4.67), em(3.97), to(3.60), mi(3.18), re(2.94), in(2.66), on(2.45)
44	30.22	dfglkl     	*	fg(6.51), gl(6.22), lk(6.00), kl(5.82), df(5.66)
45	30.08	mckenzie   	 	mc(6.00), zi(5.53), nz(5.31), ck(4.32), ke(3.66), ie(2.96), en(2.31)
46	29.86	abbigail   	 	bb(5.66), bi(5.21), ig(4.52), ga(4.18), ab(3.95), ai(3.27), il(3.07)
47	29.77	priscilla  	 	pr(5.53), sc(5.53), ci(4.62), il(3.07), ll(3.04), is(2.99), la(2.56), ri(2.45)
48	29.63	maximilian 	 	xi(5.13), ax(4.62), im(4.43), mi(3.18), il(3.07), ma(2.58), ia(2.49), li(2.36), an(1.78)
49	29.60	alexandria 	 	xa(5.53), ex(5.05), dr(4.00), nd(3.39), al(2.57), ia(2.49), ri(2.45), le(2.36), an(1.78)
50	29.59	fletcher   	 	fl(6.51), tc(6.51), et(4.00), he(3.80), ch(3.78), er(2.62), le(2.36)
51	29.48	jaqueline  	 	aq(6.22), ue(4.97), qu(4.84), ne(3.08), ja(3.05), in(2.66), li(2.36), el(2.29)
52	29.46	francesca  	 	sc(5.53), fr(4.90), nc(4.18), es(3.64), ce(3.50), ca(3.22), ra(2.72), an(1.78)
53	29.46	muhammad   	 	uh(6.92), mu(5.82), mm(4.84), ad(3.28), am(3.10), ha(2.92), ma(2.58)
54	29.44	evangeline 	 	ng(4.67), ev(4.43), va(4.08), ge(4.08), ne(3.08), in(2.66), li(2.36), el(2.29), an(1.78)
55	29.42	genevieve  	 	ev(8.87), ve(4.39), ge(4.08), vi(3.74), ne(3.08), ie(2.96), en(2.31)
56	29.42	abdullah   	 	bd(6.51), du(5.82), ul(4.35), ab(3.95), ah(3.19), ll(3.04), la(2.56)
57	29.38	elizabeth  	 	iz(5.41), za(4.11), et(4.00), ab(3.95), th(3.64), be(3.60), li(2.36), el(2.29)
58	29.23	sebastian  	 	eb(5.41), ba(5.21), ti(3.80), se(3.66), st(3.50), as(3.38), ia(2.49), an(1.78)
59	29.21	charleigh  	 	gh(4.84), ig(4.52), ei(4.43), rl(4.03), ch(3.78), ha(2.92), le(2.36), ar(2.33)
60	29.16	esmeralda  	 	sm(5.53), ld(5.05), me(3.83), es(3.64), da(3.20), ra(2.72), er(2.62), al(2.57)
61	29.09	salvatore  	 	lv(5.31), va(4.08), or(3.68), at(3.66), to(3.60), sa(3.25), re(2.94), al(2.57)
62	29.08	asdfasf    	*	as(6.75), sf(5.82), df(5.66), sd(5.53), fa(5.31)
63	29.06	mustafa    	 	af(6.22), mu(5.82), fa(5.31), us(4.18), ta(4.03), st(3.50)
64	28.87	johnathan  	 	hn(5.66), oh(4.90), jo(3.83), at(3.66), th(3.64), ha(2.92), na(2.48), an(1.78)
65	28.82	stephanie  	 	ep(5.82), ph(4.72), te(3.74), st(3.50), ni(3.39), ie(2.96), ha(2.92), an(1.78)
66	28.72	kingsley   	 	gs(6.51), sl(4.84), ng(4.67), ki(4.35), ey(3.33), in(2.66), le(2.36)
67	28.62	autumn     	 	mn(6.51), ut(6.51), um(6.00), tu(5.41), au(4.18)
